gene_symbol,Cds2
pvalue,0.990335
parameter_id,IMPC_CAL_008_001
gene_accession_id,MGI:1332236
mouse_strain,129SV
mouse_life_stage,Early adult
analysis_id,hzyqo05qy87ql08
parameter_name,Total food intake
