analysis_id,4oi8l427c1g22uu
parameter_name,12kHz-evoked ABR Threshold
pvalue,0.4166321
parameter_id,IMPC_ABR_006_001
mouse_life_stage,Early adult
gene_symbol,Arnt
gene_accession_id,MGI:88071
mouse_strain,C57BL
