gene_symbol,Ncaph
analysis_id,92t6sl03k731887
parameter_name,Mean-corpuscular-haemoglobin
gene_accession_id,MGI:2444777
pvalue,0.6477536
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,M-G-P_016_001_006
