analysis_id,irh3z52357npl3u
gene_symbol,Sfpq
pvalue,0.1844907
parameter_id,M-G-P_026_001_004
gene_accession_id,MGI:1918764
parameter_name,Coat colouration
mouse_life_stage,Early adult
mouse_strain,C57BL
