analysis_id,hl80f188k68263f
mouse_life_stage,Early adult
pvalue,0.1827104
parameter_name,Eye
gene_symbol,Snap23
parameter_id,M-G-P_014_001_001
mouse_strain,C57BL
gene_accession_id,MGI:109356
