gene_symbol,Ncaph
analysis_id,646424k6m30m5j5
parameter_id,M-G-P_026_001_004
parameter_name,Coat colouration
gene_accession_id,MGI:2444777
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7848408
