parameter_name,HDL-cholesterol
parameter_id,IMPC_CBC_016_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:95835
gene_symbol,Hspa5
pvalue,0.1527236
analysis_id,u107j10dss087l3
