analysis_id,rp59gy576b71545
pvalue,0.7187684
gene_symbol,Bcs1l
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_010_001
parameter_name,HRV
mouse_strain,C57BL
gene_accession_id,MGI:1914071
