parameter_name,RR
parameter_id,IMPC_ECG_004_001
gene_symbol,Eprs1
analysis_id,p3487355dv92d54
pvalue,0.1110635
gene_accession_id,MGI:97838
mouse_strain,C57BL
mouse_life_stage,E12.5
