gene_symbol,Trim46
analysis_id,9gkvyv97q2el253
mouse_strain,C57BL
parameter_id,MGP_IMM_129_001
parameter_name,CD11b-high cDC - % of CD45+
pvalue,0.8070146
mouse_life_stage,Early adult
gene_accession_id,MGI:2673000
