analysis_id,5his85tfj991z54
gene_accession_id,MGI:1917604
parameter_id,MGP_PBI_031_001
mouse_strain,C57BL
gene_symbol,Secisbp2l
parameter_name,KLRG1+ mature NK cell number
pvalue,0.5098344
mouse_life_stage,Middle aged adult
