analysis_id,684r3n09bp50i15
pvalue,0.7804908
mouse_strain,C57BL
parameter_id,MGP_IMM_125_001
parameter_name,Eosinophils - % of CD45+
gene_accession_id,MGI:1915848
mouse_life_stage,Early adult
gene_symbol,Dnajc8
