analysis_id,59i4ahchya890c9
mouse_life_stage,E12.5
pvalue,0.9036124
mouse_strain,C57BL
parameter_name,Percentage center time
parameter_id,IMPC_OFD_022_001
gene_symbol,Fgb
gene_accession_id,MGI:99501
