parameter_name,Cholesterol ratio
pvalue,0.7585792
mouse_life_stage,E12.5
analysis_id,z5g1rrzi5p6pat2
parameter_id,IMPC_CBC_058_001
gene_accession_id,MGI:2444554
mouse_strain,C57BL
gene_symbol,Mapkap1
