parameter_name,Snout morphology
gene_symbol,Maco1
gene_accession_id,MGI:1913396
mouse_strain,C57BL
pvalue,0.535191
analysis_id,3zd8907qw57mx01
parameter_id,MGP_CSD_066_001
mouse_life_stage,Early adult
