gene_symbol,Lpgat1
analysis_id,733374b0q53vc7u
pvalue,0.8749269
mouse_strain,C57BL
parameter_name,Resting CD8+ T cells - % of CD8+
parameter_id,MGP_IMM_015_001
gene_accession_id,MGI:2446186
mouse_life_stage,Early adult
