analysis_id,2s6o467lq0x4509
gene_symbol,Ppm1j
parameter_name,Resting Treg cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1919137
mouse_life_stage,Early adult
pvalue,0.1291151
parameter_id,MGP_IMM_078_001
