parameter_id,IMPC_HWT_008_001
gene_accession_id,MGI:1338022
pvalue,0.4348324
analysis_id,o5n2mt5y9r3m16w
gene_symbol,Opn3
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Heart weight
