analysis_id,j5t788a2100031q
Mouse_life_stage,Early adult
parameter_id,JAXLA_GRS_011_001
mouse_strain,C57BL
Gene_accession_id,MGI:95835
Parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.3649472
gene_symbol,Hspa5
