parameter_name,Joints
analysis_id,p793pe3g2gi5o90
gene_symbol,Opn3
parameter_id,IMPC_XRY_027_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1338022
pvalue,0.1400318
