parameter_name,Snout morphology
mouse_strain,C57BL
analysis_id,r6fx100dwcfn389
gene_accession_id,MGI:97054
mouse_life_stage,Early adult
parameter_id,MGP_CSD_066_001
gene_symbol,Mov10
pvalue,0.8603914
