parameter_name,Weight
mouse_life_stage,Early adult
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
analysis_id,ed7yn3e5x5e4yf1
mouse_strain,C57BL
pvalue,0.4284095
parameter_id,CCP_LFO_001_001
