parameter_name,Retinal Blood Vessels
gene_accession_id,MGI:2448481
mouse_strain,C57BL
pvalue,0.9023823
analysis_id,ci84z7m0omm9wbm
mouse_life_stage,Early adult
gene_symbol,Mgst2
parameter_id,IMPC_EYE_024_001
