gene_symbol,Sprr1b
parameter_name,Glucose
mouse_strain,C57BL
analysis_id,zcrtir25v1i4718
parameter_id,HMGULA_CBC_018_001
mouse_life_stage,Early adult
pvalue,0.7480592
gene_accession_id,MGI:106659
