parameter_id,IMPC_HEM_039_001
mouse_strain,C57BL
gene_symbol,F2
pvalue,0.07743629
analysis_id,67x797k41ou6tn0
parameter_name,Large Unstained Cell (LUC) count
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
