gene_symbol,KCNG1
mouse_life_stage,Early adult
analysis_id,ybeej420a509l67
parameter_name,Total protein
gene_accession_id,MGI:3616086
mouse_strain,C57BL
parameter_id,IMPC_CBC_006_001
pvalue,0.2980787
