analysis_id,1efv01hz9878297
mouse_strain,C57BL
gene_accession_id,MGI:105072
mouse_life_stage,Early adult
parameter_id,MGP_IMM_081_001
pvalue,0.9004582
parameter_name,Effector CD8+ T cells - % of CD45+
gene_symbol,Rab22a
