parameter_name,CD8 CD44-CD62L+ T cells
analysis_id,b1o03m8rm061mbv
parameter_id,IMPC_IMM_034_001
mouse_life_stage,Early adult
gene_symbol,Duoxa2
mouse_strain,C57BL
pvalue,0.2065379
gene_accession_id,MGI:1914061
