analysis_id,t1l2w70m1kt454l
mouse_life_stage,Early adult
pvalue,0.1403988
gene_symbol,Zmynd8
mouse_strain,C57BL
parameter_name,Cholesterol ratio
gene_accession_id,MGI:1918025
parameter_id,IMPC_CBC_058_001
