parameter_id,CCP_XRY_001_001
analysis_id,h1go6x70g0r6s9m
mouse_life_stage,Early adult
gene_symbol,Snrpb2
gene_accession_id,MGI:104805
parameter_name,Skull shape
mouse_strain,C57BL
pvalue,0.8181433
