mouse_strain,B6J
analysis_id,30ya2553g8sqt1g
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
pvalue,0.8648874
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_037_001
parameter_name,Basophil cell count
