analysis_id,99y303v31o8o207
parameter_name,Prepulse inhibition - PP4
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
parameter_id,ESLIM_011_001_704
mouse_life_stage,Early adult
mouse_strain,129SV
pvalue,0.6181091
