gene_symbol,Fpgs
pvalue,0.6380063
analysis_id,0e1fi9swwrw35k5
mouse_life_stage,Early adult
parameter_id,HRWLLA_CSD_008_001
parameter_name,Coat - color pattern - back
gene_accession_id,MGI:95576
mouse_strain,C57BL
