analysis_id,xn0327zf137a147
parameter_id,M-G-P_007_001_010
gene_symbol,Rap2b
pvalue,0.5813659
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
parameter_name,center - distance
mouse_strain,C57BL
