parameter_name,Tremor
mouse_life_stage,Early adult
parameter_id,TCPLA_CSD_030_001
mouse_strain,C57BL
pvalue,0.3044257
gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
analysis_id,135194j6a8w2e2y
