analysis_id,8pbpk847fdhcfb4
gene_symbol,Traf6
mouse_life_stage,Early adult
parameter_name,B2B Cells
parameter_id,IMPC_IMM_065_001
pvalue,0.0810228
gene_accession_id,MGI:108072
mouse_strain,C57BL
