analysis_id,c628s213b3te872
gene_symbol,Kcng1
parameter_name,Initial response to glucose challenge
gene_accession_id,MGI:3616086
mouse_strain,C57BL
pvalue,0.4764615
parameter_id,IMPC_IPG_011_001
mouse_life_stage,Early adult
