parameter_name,White blood cell count
mouse_strain,C57BL
analysis_id,td2bc8up469891n
gene_symbol,Lpgat1
pvalue,0.2142031
parameter_id,HMGULA_HEM_001_001
gene_accession_id,MGI:2446186
mouse_life_stage,Middle aged adult
