gene_symbol,Sprr1b
parameter_id,MGP_IMM_004_001
parameter_name,Total CD4+ T cells - % of ab T cells
gene_accession_id,MGI:106659
pvalue,0.2454579
analysis_id,9wwvcy5u956gs89
mouse_strain,C57BL
mouse_life_stage,Early adult
