parameter_name,Chloride
gene_accession_id,MGI:104848
gene_symbol,Inpp1
mouse_strain,C57BL
pvalue,0.3712851
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_003_001
analysis_id,2cu9p6268293t7k
