analysis_id,vf58hv01r56080z
mouse_strain,C57BL
parameter_id,IMPC_CBC_025_001
parameter_name,LDL-cholesterol
gene_accession_id,MGI:1914437
mouse_life_stage,Early adult
pvalue,0.5212604
gene_symbol,Zmynd19
