gene_symbol,Pglyrp3
mouse_strain,C57BL
gene_accession_id,MGI:2685266
parameter_id,MGP_MLN_033_001
analysis_id,25gfax1ss67sgs0
parameter_name,Resting NK cells - % of NK cells
mouse_life_stage,Early adult
pvalue,0.5453256
