analysis_id,33864c49scnt280
gene_accession_id,MGI:95835
parameter_name,Neural tube closure
mouse_strain,C57BL
gene_symbol,Hspa5
pvalue,0.6047426
parameter_id,IMPC_GEL_027_001
mouse_life_stage,E9.5
