parameter_name,lens
analysis_id,h4z1a7j8539jx8j
mouse_life_stage,Early adult
pvalue,0.3271624
gene_symbol,Tnfsf8
parameter_id,M-G-P_014_001_009
mouse_strain,C57BL
gene_accession_id,MGI:88328
