parameter_name,Fusion of vertebrae
gene_accession_id,MGI:1917810
pvalue,0.5475414
gene_symbol,Wars2
mouse_strain,C57BL
parameter_id,M-G-P_006_001_026
analysis_id,194w0aurz4w4h0h
mouse_life_stage,E12.5
