analysis_id,4337im92676g6b6
mouse_life_stage,Early adult
gene_symbol,Nipal3
pvalue,1.418258
mouse_strain,129SV
parameter_id,HRWLLA_OFD_017_001
gene_accession_id,MGI:1921802
parameter_name,Center average speed
