analysis_id,l6x7k898ucf68l4
parameter_name,Potassium
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,GMC_906_001_005
gene_symbol,Rgs20
pvalue,0.8754191
gene_accession_id,MGI:1929866
