gene_symbol,Atg4c
parameter_id,IMPC_IMM_034_001
gene_accession_id,MGI:2651854
pvalue,0.9867743
parameter_name,CD8 CD44-CD62L+ T cells
mouse_strain,C57BL
analysis_id,61cs8v75i37wsv6
mouse_life_stage,Early adult
