parameter_name,Centre distance travelled
mouse_strain,C57BL
analysis_id,ag3e13z819x3qjn
pvalue,0.904441
gene_symbol,Hspa5
mouse_life_stage,E12.5
parameter_id,ESLIM_007_001_010
gene_accession_id,MGI:95835
