parameter_id,IMPC_GEO_009_002
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8603694
analysis_id,09358nhaty113q4
gene_symbol,Nanp
gene_accession_id,MGI:1914561
parameter_name,Hemorrhage
