analysis_id,b25zn3vtv9rk77q
gene_symbol,Wars2
parameter_id,IMPC_IMM_071_001
gene_accession_id,MGI:1917810
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7846921
parameter_name,MZB (CD21/35 high)
