analysis_id,l319218k87i9e85
gene_accession_id,MGI:1931749
mouse_life_stage,Early adult
gene_symbol,Pum1
parameter_id,MGP_MLN_006_001
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.3188226
mouse_strain,C57BL
