parameter_id,M-G-P_007_001_010
parameter_name,center - distance
pvalue,0.727965
analysis_id,7915vsr3mc5x83k
mouse_strain,C57BL
gene_accession_id,MGI:3046938
gene_symbol,Hrnr
mouse_life_stage,Early adult
