analysis_id,ptc2stx76650q1q
mouse_strain,C59BL
gene_accession_id,MGI:88446
mouse_life_stage,E18.5
parameter_name,Heart looping
gene_symbol,Col11a1
pvalue,0.2600302
parameter_id,IMPC_GEL_057_001
