analysis_id,dodf609d40de44g
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
parameter_id,JAX_OFD_016_001
pvalue,0.6606665
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_name,Center permanence time
