gene_symbol,Dnajc8
pvalue,0.2187899
mouse_strain,C57BL
gene_accession_id,MGI:1915848
analysis_id,217o467d9m1gq44
parameter_id,MGP_CSD_064_001
parameter_name,Head morphology
mouse_life_stage,Early adult
