parameter_name,Limb morphology
gene_symbol,Cmpk1
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,f2c01q83wi3976t
pvalue,0.8855451
gene_accession_id,MGI:1913838
parameter_id,IMPC_GEP_084_001
