parameter_name,Hindlimbs - size
gene_accession_id,MGI:1921802
parameter_id,JAXLA_CSD_022_001
pvalue,0.9058915
analysis_id,5y8jge79enj0632
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Nipal3
