gene_symbol,Trdmt1
mouse_strain,C57BL
parameter_id,MGP_MLN_001_001
pvalue,0.635283
mouse_life_stage,Early adult
parameter_name,Total T cells - % of CD45+
analysis_id,xm9x666hsw4vt2r
gene_accession_id,MGI:1274787
