analysis_id,6y9730n226emb2u
parameter_id,ESLIM_011_001_009
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914561
parameter_name,PP3 + pulse startle magnitude
pvalue,0.1012124
gene_symbol,Nanp
