analysis_id,9l186fh110z3e93
mouse_strain,C57BL
parameter_id,IMPC_EYE_009_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
parameter_name,Corneal vascularization
gene_symbol,Opn3
pvalue,0.876549
