analysis_id,9dng6u70294fgw2
mouse_life_stage,Early adult
gene_accession_id,MGI:88380
pvalue,0.6967826
gene_symbol,F2
mouse_strain,C57BL
parameter_name,DN CD44+CD62L- NKT cells
parameter_id,IMPC_IMM_046_001
