parameter_name,Total food intake
analysis_id,jb96vrourh08b71
pvalue,0.8331183
gene_symbol,Kdm5b
gene_accession_id,MGI:1922855
parameter_id,IMPC_CAL_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
