gene_symbol,Bach2
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
analysis_id,39re9p0421kr7c7
pvalue,0.6727388
parameter_name,Transitional 1 B cells - % of CD45+
parameter_id,MGP_IMM_110_001
mouse_strain,C57BL
